month,borough,day_type,trip_type,route_id,period,number_of_trips_passing_wait,number_of_scheduled_trips,wait_assessment
2023-03-01,Bronx,1,LCL/LTD,BX19,Off-Peak,12941,16511,0.7837805
2023-03-01,Bronx,1,LCL/LTD,BX19,Peak,5258,7730,0.680207
2023-03-01,Bronx,2,LCL/LTD,BX19,Off-Peak,4125,5300,0.7783019
2023-03-01,Bronx,2,LCL/LTD,BX19,Peak,1546,2034,0.76007867
2023-04-01,Bronx,1,LCL/LTD,BX19,Off-Peak,11335,14685,0.77187604
2023-04-01,Bronx,1,LCL/LTD,BX19,Peak,4690,6768,0.6929669
2023-04-01,Bronx,2,LCL/LTD,BX19,Off-Peak,5242,6577,0.7970199
2023-04-01,Bronx,2,LCL/LTD,BX19,Peak,2071,2517,0.8228049
2023-05-01,Bronx,1,LCL/LTD,BX19,Off-Peak,11696,16135,0.7248838
2023-05-01,Bronx,1,LCL/LTD,BX19,Peak,4797,7436,0.6451049
2023-05-01,Bronx,2,LCL/LTD,BX19,Off-Peak,4014,5535,0.7252033
2023-05-01,Bronx,2,LCL/LTD,BX19,Peak,1546,2094,0.7382999
2023-06-01,Bronx,1,LCL/LTD,BX19,Off-Peak,11565,15992,0.7231741
2023-06-01,Bronx,1,LCL/LTD,BX19,Peak,4909,7376,0.6655369
2023-06-01,Bronx,2,LCL/LTD,BX19,Off-Peak,3941,5219,0.7551255
2023-06-01,Bronx,2,LCL/LTD,BX19,Peak,1529,1975,0.7741772
2023-07-01,Bronx,1,LCL/LTD,BX19,Off-Peak,10652,14647,0.7272479
2023-07-01,Bronx,1,LCL/LTD,BX19,Peak,4491,6706,0.6696988
2023-07-01,Bronx,2,LCL/LTD,BX19,Off-Peak,5210,7131,0.7306128
2023-07-01,Bronx,2,LCL/LTD,BX19,Peak,2056,2752,0.747093
2023-08-01,Bronx,1,LCL/LTD,BX19,Off-Peak,12669,16944,0.7476983
2023-08-01,Bronx,1,LCL/LTD,BX19,Peak,5334,7794,0.6843726
2023-08-01,Bronx,2,LCL/LTD,BX19,Off-Peak,3604,5219,0.6905537
2023-08-01,Bronx,2,LCL/LTD,BX19,Peak,1418,2017,0.70302427
2023-09-01,Bronx,1,LCL/LTD,BX19,Off-Peak,10264,13905,0.7381517
2023-09-01,Bronx,1,LCL/LTD,BX19,Peak,3953,6377,0.61988395
2023-09-01,Bronx,2,LCL/LTD,BX19,Off-Peak,4733,6296,0.75174713
2023-09-01,Bronx,2,LCL/LTD,BX19,Peak,1830,2370,0.7721519
2023-10-01,Bronx,1,LCL/LTD,BX19,Off-Peak,11512,15356,0.7496744
2023-10-01,Bronx,1,LCL/LTD,BX19,Peak,4638,7104,0.6528716
2023-10-01,Bronx,2,LCL/LTD,BX19,Off-Peak,4039,5488,0.73596936
2023-10-01,Bronx,2,LCL/LTD,BX19,Peak,1633,2107,0.7750356
2023-11-01,Bronx,1,LCL/LTD,BX19,Off-Peak,11079,15025,0.737371
2023-11-01,Bronx,1,LCL/LTD,BX19,Peak,4448,6919,0.64286745
2023-11-01,Bronx,2,LCL/LTD,BX19,Off-Peak,4068,5365,0.7582479
2023-11-01,Bronx,2,LCL/LTD,BX19,Peak,1615,2055,0.7858881
2023-12-01,Bronx,1,LCL/LTD,BX19,Off-Peak,10664,14128,0.75481313
2023-12-01,Bronx,1,LCL/LTD,BX19,Peak,4247,6454,0.65804154
2023-12-01,Bronx,2,LCL/LTD,BX19,Off-Peak,5480,7019,0.780738
2023-12-01,Bronx,2,LCL/LTD,BX19,Peak,2144,2678,0.8005975
2024-01-01,Bronx,1,LCL/LTD,BX19,Off-Peak,11517,15442,0.7458231
2024-01-01,Bronx,1,LCL/LTD,BX19,Peak,4371,7091,0.6164152
2024-01-01,Bronx,2,LCL/LTD,BX19,Off-Peak,4789,6357,0.75334275
2024-01-01,Bronx,2,LCL/LTD,BX19,Peak,1870,2463,0.7592367
2024-02-01,Bronx,1,LCL/LTD,BX19,Off-Peak,10543,14490,0.7276052
2024-02-01,Bronx,1,LCL/LTD,BX19,Peak,4175,6575,0.634981
2024-02-01,Bronx,2,LCL/LTD,BX19,Off-Peak,4160,5532,0.7519884
2024-02-01,Bronx,2,LCL/LTD,BX19,Peak,1596,2137,0.7468414
2024-03-01,Bronx,1,LCL/LTD,BX19,Off-Peak,11002,15198,0.72391105
2024-03-01,Bronx,1,LCL/LTD,BX19,Peak,4297,6961,0.61729634
2024-03-01,Bronx,2,LCL/LTD,BX19,Off-Peak,4999,6567,0.7612304
2024-03-01,Bronx,2,LCL/LTD,BX19,Peak,1943,2541,0.7646596
2024-04-01,Bronx,1,LCL/LTD,BX19,Off-Peak,12131,15835,0.7660878
2024-04-01,Bronx,1,LCL/LTD,BX19,Peak,5099,7549,0.6754537
2024-04-01,Bronx,2,LCL/LTD,BX19,Off-Peak,3864,5208,0.7419355
