month,borough,day_type,trip_type,route_id,period,total_mileage,total_operating_time,average_speed
2021-04-01,Bronx,2,LCL/LTD,BX19,Peak,2976.362,492,6.047485
2021-05-01,Bronx,1,LCL/LTD,BX19,Off-Peak,23663.873,4063,5.8241243
2021-05-01,Bronx,1,LCL/LTD,BX19,Peak,8859.099,1710,5.1777964
2021-05-01,Bronx,2,LCL/LTD,BX19,Off-Peak,10090.179,1603,6.2925673
2021-05-01,Bronx,2,LCL/LTD,BX19,Peak,3680.407,607,6.0550327
2021-06-01,Bronx,1,LCL/LTD,BX19,Off-Peak,24334.322,4257,5.71567
2021-06-01,Bronx,1,LCL/LTD,BX19,Peak,9294.948,1792,5.1844296
2021-06-01,Bronx,2,LCL/LTD,BX19,Off-Peak,7954.545,1296,6.1334295
2021-06-01,Bronx,2,LCL/LTD,BX19,Peak,2923.122,492,5.9296846
2021-07-01,Bronx,1,LCL/LTD,BX19,Off-Peak,22921.783,3947,5.8067446
2021-07-01,Bronx,1,LCL/LTD,BX19,Peak,9067.546,1727,5.248716
2021-07-01,Bronx,2,LCL/LTD,BX19,Off-Peak,9847.971,1575,6.2524176
2021-07-01,Bronx,2,LCL/LTD,BX19,Peak,3854.889,634,6.0795393
2021-08-01,Bronx,1,LCL/LTD,BX19,Off-Peak,23931.094,4112,5.819692
2021-08-01,Bronx,1,LCL/LTD,BX19,Peak,9388.092,1778,5.2773147
2021-08-01,Bronx,2,LCL/LTD,BX19,Off-Peak,8504.468,1360,6.2516828
2021-08-01,Bronx,2,LCL/LTD,BX19,Peak,3192.1719,525,6.07495
2021-09-01,Bronx,1,LCL/LTD,BX19,Off-Peak,20573.902,3668,5.6081424
2021-09-01,Bronx,1,LCL/LTD,BX19,Peak,7429.9897,1479,5.0227284
2021-09-01,Bronx,2,LCL/LTD,BX19,Off-Peak,8006.455,1285,6.229016
2021-09-01,Bronx,2,LCL/LTD,BX19,Peak,3011.253,500,6.011978
2021-10-01,Bronx,1,LCL/LTD,BX19,Off-Peak,22301.928,3903,5.7126284
2021-10-01,Bronx,1,LCL/LTD,BX19,Peak,8268.613,1627,5.079221
2021-10-01,Bronx,2,LCL/LTD,BX19,Off-Peak,9916.186,1572,6.3079696
2021-10-01,Bronx,2,LCL/LTD,BX19,Peak,3740.654,612,6.1067224
2021-11-01,Bronx,1,LCL/LTD,BX19,Off-Peak,22532.4,3909,5.7634025
2021-11-01,Bronx,1,LCL/LTD,BX19,Peak,8917.003,1733,5.1449656
2021-11-01,Bronx,2,LCL/LTD,BX19,Off-Peak,8506.066,1344,6.328488
2021-11-01,Bronx,2,LCL/LTD,BX19,Peak,3167.136,519,6.0997176
2021-12-01,Bronx,1,LCL/LTD,BX19,Off-Peak,24038.156,4104,5.8561287
2021-12-01,Bronx,1,LCL/LTD,BX19,Peak,8838.364,1690,5.228816
2021-12-01,Bronx,2,LCL/LTD,BX19,Off-Peak,8900.528,1375,6.4694715
2021-12-01,Bronx,2,LCL/LTD,BX19,Peak,3298.368,532,6.188672
2022-01-01,Bronx,1,LCL/LTD,BX19,Off-Peak,21739.547,3621,6.003239
2022-01-01,Bronx,1,LCL/LTD,BX19,Peak,8573.052,1593,5.3793573
2022-01-01,Bronx,2,LCL/LTD,BX19,Off-Peak,10080.717,1522,6.6197476
2022-01-01,Bronx,2,LCL/LTD,BX19,Peak,3701.32,595,6.2130165
2022-02-01,Bronx,1,LCL/LTD,BX19,Off-Peak,22251.307,3808,5.842976
2022-02-01,Bronx,1,LCL/LTD,BX19,Peak,8712.323,1672,5.2097397
2022-02-01,Bronx,2,LCL/LTD,BX19,Off-Peak,9216.364,1423,6.473844
2022-02-01,Bronx,2,LCL/LTD,BX19,Peak,3425.833,554,6.1775265
2022-03-01,Bronx,1,LCL/LTD,BX19,Off-Peak,26260.191,4557,5.7619023
2022-03-01,Bronx,1,LCL/LTD,BX19,Peak,10085.664,1941,5.194206
