month,borough,trip_type,route_id,period,number_of_customers,additional_bus_stop_time,additional_travel_time,customer_journey_time_performance
2022-08-01,Bronx,LCL/LTD,BX19,Off-Peak,377425,2.3910012,0.390065,0.6941435
2022-08-01,Bronx,LCL/LTD,BX19,Peak,224854.47,1.6326184,-0.6850166,0.7923797
2022-09-01,Bronx,LCL/LTD,BX19,Off-Peak,324906.8,2.4763477,1.0432411,0.6535432
2022-09-01,Bronx,LCL/LTD,BX19,Peak,192239.64,2.400567,0.864014,0.6661547
2022-10-01,Bronx,LCL/LTD,BX19,Off-Peak,356529.28,2.0762908,0.46543258,0.6965094
2022-10-01,Bronx,LCL/LTD,BX19,Peak,212518.1,2.4558742,0.6526777,0.68509096
2022-11-01,Bronx,LCL/LTD,BX19,Off-Peak,427728.3,1.8675653,0.41678208,0.71100193
2022-11-01,Bronx,LCL/LTD,BX19,Peak,260003.78,1.9790534,0.21178226,0.71743566
2022-12-01,Bronx,LCL/LTD,BX19,Off-Peak,445713.1,2.3315294,0.48331088,0.6861625
2022-12-01,Bronx,LCL/LTD,BX19,Peak,271057.62,2.2420683,0.08281598,0.71308845
2023-01-01,Bronx,LCL/LTD,BX19,Off-Peak,446826.84,1.591804,0.012151946,0.75078213
2023-01-01,Bronx,LCL/LTD,BX19,Peak,276891.03,1.8924726,-0.180981,0.7471397
2023-02-01,Bronx,LCL/LTD,BX19,Off-Peak,410610.44,1.8148551,0.25967455,0.7256564
2023-02-01,Bronx,LCL/LTD,BX19,Peak,249628.03,1.6752323,-0.20735635,0.7653187
2023-03-01,Bronx,LCL/LTD,BX19,Off-Peak,493917,1.7792866,0.5073364,0.71746397
2023-03-01,Bronx,LCL/LTD,BX19,Peak,306603.75,1.950279,0.23854893,0.7311156
2023-04-01,Bronx,LCL/LTD,BX19,Off-Peak,429058.53,1.856249,0.6149165,0.7059284
2023-04-01,Bronx,LCL/LTD,BX19,Peak,272738,1.9002689,0.023684653,0.7479216
2023-05-01,Bronx,LCL/LTD,BX19,Off-Peak,466268.16,2.3588934,1.1597844,0.654031
2023-05-01,Bronx,LCL/LTD,BX19,Peak,301090.75,2.3759344,0.6372864,0.68454653
2023-06-01,Bronx,LCL/LTD,BX19,Off-Peak,460593.1,2.3243716,0.93856543,0.6642993
2023-06-01,Bronx,LCL/LTD,BX19,Peak,298031.84,2.086666,0.012646023,0.7283113
2023-07-01,Bronx,LCL/LTD,BX19,Off-Peak,422358.44,2.4140105,0.7942112,0.66821074
2023-07-01,Bronx,LCL/LTD,BX19,Peak,271077.97,1.9968281,-0.21925257,0.7509773
2023-08-01,Bronx,LCL/LTD,BX19,Off-Peak,532974.3,2.0530124,0.5109357,0.69852406
2023-08-01,Bronx,LCL/LTD,BX19,Peak,333741.6,1.737394,-0.37498146,0.77666736
2023-09-01,Bronx,LCL/LTD,BX19,Off-Peak,436133.34,2.421165,1.0874522,0.6515323
2023-09-01,Bronx,LCL/LTD,BX19,Peak,274260.47,3.0855691,1.0273178,0.6349626
2023-10-01,Bronx,LCL/LTD,BX19,Off-Peak,495579.56,2.1335506,0.86355144,0.6726276
2023-10-01,Bronx,LCL/LTD,BX19,Peak,303032.16,2.3690338,0.51215124,0.6823399
2023-11-01,Bronx,LCL/LTD,BX19,Off-Peak,519698.78,2.3091886,0.527396,0.6852391
2023-11-01,Bronx,LCL/LTD,BX19,Peak,297513.66,2.4223723,0.31952682,0.6979038
2023-12-01,Bronx,LCL/LTD,BX19,Off-Peak,503223.53,2.0044432,0.3324261,0.7055073
2023-12-01,Bronx,LCL/LTD,BX19,Peak,286333.1,2.2485375,-0.16517825,0.72777015
2024-01-01,Bronx,LCL/LTD,BX19,Off-Peak,557424.1,2.235669,0.32519227,0.702829
2024-01-01,Bronx,LCL/LTD,BX19,Peak,318388,2.8371928,0.3454505,0.6779648
2024-02-01,Bronx,LCL/LTD,BX19,Off-Peak,495482.06,2.4245048,0.59651464,0.68345594
2024-02-01,Bronx,LCL/LTD,BX19,Peak,281818.66,2.545512,0.3895289,0.6898193
2024-03-01,Bronx,LCL/LTD,BX19,Off-Peak,499453.9,2.619055,0.9592933,0.66047424
2024-03-01,Bronx,LCL/LTD,BX19,Peak,285136.16,2.8329306,0.8714039,0.66015697
2024-04-01,Bronx,LCL/LTD,BX19,Off-Peak,504790.56,1.940546,0.21530512,0.7248114
2024-04-01,Bronx,LCL/LTD,BX19,Peak,291814.25,2.147727,-0.047328457,0.7474868
2024-05-01,Bronx,LCL/LTD,BX19,Off-Peak,495546.8,2.9112,0.91929066,0.64754933
2024-05-01,Bronx,LCL/LTD,BX19,Peak,302975,3.5713706,0.92734474,0.6195023
