Year,Month,Timestamp,Day of Week,Hour of Day,Route ID,Direction,Borough,Route Type,Stop Order,Timepoint Stop ID,Timepoint Stop Name,Timepoint Stop Latitude,Timepoint Stop Longitude,Next Timepoint Stop ID,Next Timepoint Stop Name,Next Timepoint Stop Latitude,Next Timepoint Stop Longitude,Road Distance,Average Travel Time,Average Road Speed,Bus Trip Count,Timepoint Stop Georeference,Next Timepoint Stop Georeference
2025,4,04/01/2025 12:00:00 AM,Tuesday,0,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,11.443332,8.347219149107971,5,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,4,04/01/2025 05:00:00 PM,Tuesday,17,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,16.834374,5.674104535886562,32,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,4,04/01/2025 06:00:00 PM,Tuesday,18,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,17.772462,5.374607153588031,23,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,4,04/01/2025 03:00:00 PM,Tuesday,15,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,18.215184,5.243976289673035,45,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,4,04/01/2025 08:00:00 PM,Tuesday,20,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,13.705836,6.969295481712058,20,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,4,04/01/2025 09:00:00 AM,Tuesday,9,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,16.55049,5.771430332274151,34,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,4,04/01/2025 03:00:00 AM,Tuesday,3,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,9.84,9.707317073170733,5,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,4,04/01/2025 12:00:00 PM,Tuesday,12,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,17.114214,5.58132532760435,34,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,4,04/01/2025 11:00:00 AM,Tuesday,11,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,17.006058,5.61682129781972,33,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,4,04/01/2025 06:00:00 AM,Tuesday,6,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,12.520374,7.62916683158309,54,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,4,04/01/2025 07:00:00 AM,Tuesday,7,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,16.231914,5.8847035693829,47,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,4,04/01/2025 01:00:00 PM,Tuesday,13,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,17.967144,5.316370815528613,35,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,4,04/01/2025 07:00:00 PM,Tuesday,19,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,15.81522,6.039752577319589,23,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,4,04/01/2025 05:00:00 AM,Tuesday,5,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,11.297916,8.454655470798048,24,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,4,04/01/2025 08:00:00 AM,Tuesday,8,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,16.50684,5.786692601527852,39,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,4,04/01/2025 09:00:00 PM,Tuesday,21,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,12.78333,7.472230490939477,19,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,4,04/01/2025 04:00:00 PM,Tuesday,16,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,19.485354,4.90214328803591,33,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,4,04/01/2025 10:00:00 PM,Tuesday,22,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,11.39889,8.37976182246485,15,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,4,04/01/2025 10:00:00 AM,Tuesday,10,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,16.228122,5.886078091978982,32,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,4,04/01/2025 02:00:00 PM,Tuesday,14,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,18.399144,5.191545693930254,39,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,1,01/01/2025 03:00:00 PM,Friday,15,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,18.174276,5.255780051863079,46,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,1,01/01/2025 10:00:00 AM,Friday,10,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,18.271428,5.227833918509217,35,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,1,01/01/2025 09:00:00 AM,Friday,9,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,16.373232,5.833912068011672,33,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,1,01/01/2025 11:00:00 PM,Friday,23,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,11.455554,8.338311509378128,18,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,1,01/01/2025 10:00:00 PM,Friday,22,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,11.164038,8.556045663169911,19,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,1,01/01/2025 04:00:00 AM,Friday,4,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,9.719232,9.827935155382617,13,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,1,01/01/2025 07:00:00 AM,Friday,7,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,15.90993,6.003797387404528,47,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
2025,1,01/01/2025 12:00:00 AM,Friday,0,BX19,S,Bronx,Local,7,103917,SOUTHERN BLVD/EAST TREMONT AV,40.842926,-73.885763,104221,SOUTHERN BLVD/E 163 ST,40.820842,-73.891773,1.592,11.28057,8.467657219449016,6,POINT (-73.885763 40.842926),POINT (-73.891773 40.820842)
